Date,ICU
2020-03-06,1
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,0
2020-03-12,0
2020-03-13,2
2020-03-14,3
2020-03-15,5
2020-03-16,3
2020-03-17,1
2020-03-18,8
2020-03-19,5
2020-03-20,11
2020-03-21,4
2020-03-22,13
2020-03-23,22
2020-03-24,16
2020-03-25,18
2020-03-26,16
2020-03-27,17
2020-03-28,16
2020-03-29,13
2020-03-30,25
2020-03-31,18
2020-04-01,27
2020-04-02,24
2020-04-03,23
2020-04-04,19
2020-04-05,17
2020-04-06,27
2020-04-07,25
2020-04-08,21
2020-04-09,14
2020-04-10,15
2020-04-11,26
2020-04-12,15
2020-04-13,21
2020-04-14,24
2020-04-15,21
2020-04-16,23
2020-04-17,20
2020-04-18,12
2020-04-19,23
2020-04-20,9
2020-04-21,21
2020-04-22,26
2020-04-23,16
2020-04-24,22
2020-04-25,10
2020-04-26,11
2020-04-27,8
2020-04-28,18
2020-04-29,10
2020-04-30,16
2020-05-01,10
2020-05-02,17
2020-05-03,15
2020-05-04,12
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,16
2020-05-09,10
2020-05-10,11
2020-05-11,6
2020-05-12,12
2020-05-13,17
2020-05-14,8
2020-05-15,12
2020-05-16,9
2020-05-17,6
2020-05-18,12
2020-05-19,8
2020-05-20,7
2020-05-21,7
2020-05-22,8
2020-05-23,6
2020-05-24,6
2020-05-25,10
2020-05-26,10
2020-05-27,11
2020-05-28,6
2020-05-29,11
2020-05-30,9
2020-05-31,7
2020-06-01,9
2020-06-02,7
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,4
2020-06-07,3
2020-06-08,7
2020-06-09,7
2020-06-10,4
2020-06-11,4
2020-06-12,6
2020-06-13,10
2020-06-14,0
2020-06-15,3
2020-06-16,5
2020-06-17,8
2020-06-18,7
2020-06-19,1
2020-06-20,1
2020-06-21,5
2020-06-22,4
2020-06-23,1
2020-06-24,3
2020-06-25,2
2020-06-26,3
2020-06-27,4
2020-06-28,3
2020-06-29,2
2020-06-30,3
2020-07-01,2
2020-07-02,1
2020-07-03,2
2020-07-04,1
2020-07-05,2
2020-07-06,2
2020-07-07,0
2020-07-08,1
2020-07-09,1
2020-07-10,0
2020-07-11,1
2020-07-12,0
2020-07-13,2
2020-07-14,1
2020-07-15,0
2020-07-16,4
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,2
2020-07-21,0
2020-07-22,0
2020-07-23,2
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,2
2020-07-28,0
2020-07-29,1
2020-07-30,0
2020-07-31,0
2020-08-01,1
2020-08-02,1
2020-08-03,0
2020-08-04,1
2020-08-05,2
2020-08-06,0
2020-08-07,1
2020-08-08,2
2020-08-09,1
2020-08-10,0
2020-08-11,1
2020-08-12,2
2020-08-13,3
2020-08-14,2
2020-08-15,1
2020-08-16,0
2020-08-17,0
2020-08-18,1
2020-08-19,1
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,2
2020-08-25,1
2020-08-26,0
2020-08-27,1
2020-08-28,0
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,1
